Drug_Name,Drug_class,Drug_Pubchem_ID,Resistance_gene_class,Resistance_genes_involved,Bibliography
Acriflavine,Acriflavine,443101,Two component system,AcrAB-TolC,PMID: 24043404
Amoxicillin,Beta Lactam,33613,Beta lactamase,Bla(TEM),PMID: 11751770
Amoxicillin,Beta Lactam,33613,Beta lactamase,Bla(OXA-1),PMID: 11751770
Amoxicillin,Beta Lactam,33613,Beta lactamase,Bla(SHV),PMID: 11751770
Amoxicillin,Beta Lactam,33613,Beta lactamase,Bla(ampC),PMID: 11751770
Amoxicillin,Beta Lactam,33613,Beta lactamase,Bla(CTX-M),PMID: 19402960
Amoxicillin,Beta Lactam,33613,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Ampicillin,Beta Lactam,6249,Beta lactamase,Bla(TEM),PMID: 20374640
Ampicillin,Beta Lactam,6249,Beta lactamase,Bla(SHV),PMID: 20374640
Ampicillin,Beta Lactam,6249,Beta lactamase,Bla(NDM-1),PMID: 25092693
Ampicillin,Beta Lactam,6249,Beta lactamase,Bla(NDM-12),PMID: 25092693
Ampicillin,Beta Lactam,6249,Beta lactamase,Bla(CMY),PMID: 11709361
Ampicillin,Beta Lactam,6249,Two component system,AcrAB,PMID: 8550435
Apramycin,Aminoglycosides,3081545,Aminoglycoside modifying enzymes,aac(3)-IV,PMID: 19501867
Aztreonam,Beta Lactam,5742832,Beta lactamase,Bla(VIM-2),PMID: 15301681
Aztreonam,Beta Lactam,5742832,Beta lactamase,Bla(IBC-1),PMID: 15301681
Benzalkonium,Benzalkonium,23705,Efflux pump,MdfA,PMID: 9079913
Bicyclomycin,Peptide Drug,426058,Efflux pump,BcR,PMID: 8486276
Cefalotin,Beta Lactam,6024,Horizontal gene transfer,Class 1 Integron,PMID: 26889395
Cefalotin,Beta Lactam,6024,Beta lactamase,Bla(CMY),PMID: 11709361
Cefepime,Beta Lactam,5479537,Beta lactamase,Bla(NDM-1),PMID: 25092693
Cefepime,Beta Lactam,5479537,Beta lactamase,Bla(NDM-12),PMID: 25092693
Cefepime,Beta Lactam,5479537,Beta lactamase,Bla(NDM-4),PMID: 22252797
Cefepime,Beta Lactam,5479537,Efflux pump,marA,PMID: 21048014
Cefepime,Beta Lactam,5479537,Beta lactamase,Bla(CMY),PMID: 19414578
Cefoselis,Beta Lactam,5748845,Beta lactamase,Bla(NDM-1),PMID: 25092693
Cefoselis,Beta Lactam,5748845,Beta lactamase,Bla(NDM-12),PMID: 25092693
Cefotaxime,Beta Lactam,5742673,Beta lactamase,Bla(NDM-1),PMID: 25092693
